dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name
2024-05-02,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1736.19,11517,94,0.81618477,4.0,facebook,all india focusing on uni ad set_060324
2024-05-02,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,13.44,63,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-02,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,415.91,127,4,3.1496063,2.0,facebook,all india focusing on uni ad set_060324
2024-05-02,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,699.57,2545,12,0.47151277,3.0,facebook,all india focusing on uni ad set_060324
2024-05-02,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1440.58,371,16,4.31266846,7.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1262.17,523,15,2.86806883,5.0,facebook,all india generic leads ad set_240224
2024-05-02,USP_2_Lead-gen-1_220124,#18 - Master's Degree In 12 Months Â– Rutgers,18.37,4,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_2_Lead-gen-1_220124,#16 ( Graphic ) - Dual coursework_Hands,102.71,45,1,2.22222222,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,678.0,650,8,1.23076923,2.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,90.42,23,2,8.69565217,1.0,facebook,all india generic leads ad set_240224
2024-05-02,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,83.44,34,2,5.88235294,1.0,facebook,all india generic leads ad set_240224
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,185.91,2898,5,0.17253278,0.0,facebook,usp-2_ap_ts_050424
2024-05-02,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,201.51,152,2,1.31578947,1.0,facebook,all india generic leads ad set_240224
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,1024.84,3476,14,0.4027618,0.0,facebook,usp-2_ap_ts_050424
2024-05-02,USP_2_Lead-gen-1_220124,State University Of New York_New,46.49,24,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,193.05,2251,3,0.1332741,0.0,facebook,usp-2_ka_tn_050424
